case_id,task,resource,start_time,completion_time
Intervention Loaded1148,Intervention Loaded,,2020-01-01 00:11:28.800000,2020-01-01 00:11:28.800000
Intervention Loaded1149,Intervention Loaded,,2020-01-01 00:11:29.400000,2020-01-01 00:11:29.400000
Intervention Loaded1150,Intervention Loaded,,2020-01-01 00:11:30.000000,2020-01-01 00:11:30.000000
Intervention Loaded1151,Intervention Loaded,,2020-01-01 00:11:30.600000,2020-01-01 00:11:30.600000
Intervention Loaded1152,Intervention Loaded,,2020-01-01 00:11:31.200000,2020-01-01 00:11:31.200000
Intervention Loaded1153,Intervention Loaded,,2020-01-01 00:11:31.800000,2020-01-01 00:11:31.800000
Intervention Loaded1154,Intervention Loaded,,2020-01-01 00:11:32.400000,2020-01-01 00:11:32.400000
Intervention Loaded1155,Intervention Loaded,,2020-01-01 00:11:33.000000,2020-01-01 00:11:33.000000
Intervention Loaded1156,Intervention Loaded,,2020-01-01 00:11:33.600000,2020-01-01 00:11:33.600000
Intervention Loaded1157,Intervention Loaded,,2020-01-01 00:11:34.200000,2020-01-01 00:11:34.200000
Intervention Loaded1158,Intervention Loaded,,2020-01-01 00:11:34.800000,2020-01-01 00:11:34.800000
Intervention Loaded1159,Intervention Loaded,,2020-01-01 00:11:35.400000,2020-01-01 00:11:35.400000
Intervention Loaded1160,Intervention Loaded,,2020-01-01 00:11:36.000000,2020-01-01 00:11:36.000000
Intervention Loaded1161,Intervention Loaded,,2020-01-01 00:11:36.600000,2020-01-01 00:11:36.600000
Intervention Loaded1162,Intervention Loaded,,2020-01-01 00:11:37.200000,2020-01-01 00:11:37.200000
Intervention Loaded1163,Intervention Loaded,,2020-01-01 00:11:37.800000,2020-01-01 00:11:37.800000
Intervention Loaded1164,Intervention Loaded,,2020-01-01 00:11:38.400000,2020-01-01 00:11:38.400000
Intervention Loaded1165,Intervention Loaded,,2020-01-01 00:11:39.000000,2020-01-01 00:11:39.000000
Intervention Loaded1166,Intervention Loaded,,2020-01-01 00:11:39.600000,2020-01-01 00:11:39.600000
Intervention Loaded1167,Intervention Loaded,,2020-01-01 00:11:40.200000,2020-01-01 00:11:40.200000
Intervention Loaded1168,Intervention Loaded,,2020-01-01 00:11:40.800000,2020-01-01 00:11:40.800000
Intervention Loaded1169,Intervention Loaded,,2020-01-01 00:11:41.400000,2020-01-01 00:11:41.400000
Intervention Loaded1170,Intervention Loaded,,2020-01-01 00:11:42.000000,2020-01-01 00:11:42.000000
Intervention Loaded1171,Intervention Loaded,,2020-01-01 00:11:42.600000,2020-01-01 00:11:42.600000
Intervention Loaded1172,Intervention Loaded,,2020-01-01 00:11:43.200000,2020-01-01 00:11:43.200000
Intervention Loaded1173,Intervention Loaded,,2020-01-01 00:11:43.800000,2020-01-01 00:11:43.800000
Intervention Loaded1174,Intervention Loaded,,2020-01-01 00:11:44.400000,2020-01-01 00:11:44.400000
Intervention Loaded1175,Intervention Loaded,,2020-01-01 00:11:45.000000,2020-01-01 00:11:45.000000
Intervention Loaded1176,Intervention Loaded,,2020-01-01 00:11:45.600000,2020-01-01 00:11:45.600000
Intervention Loaded1177,Intervention Loaded,,2020-01-01 00:11:46.200000,2020-01-01 00:11:46.200000
Intervention Loaded1178,Intervention Loaded,,2020-01-01 00:11:46.800000,2020-01-01 00:11:46.800000
Intervention Loaded1179,Intervention Loaded,,2020-01-01 00:11:47.400000,2020-01-01 00:11:47.400000
Intervention Loaded1180,Intervention Loaded,,2020-01-01 00:11:48.000000,2020-01-01 00:11:48.000000
Intervention Loaded1181,Intervention Loaded,,2020-01-01 00:11:48.600000,2020-01-01 00:11:48.600000
Intervention Loaded1182,Intervention Loaded,,2020-01-01 00:11:49.200000,2020-01-01 00:11:49.200000
Intervention Loaded1183,Intervention Loaded,,2020-01-01 00:11:49.800000,2020-01-01 00:11:49.800000
Intervention Loaded1184,Intervention Loaded,,2020-01-01 00:11:50.400000,2020-01-01 00:11:50.400000
Intervention Loaded1185,Intervention Loaded,,2020-01-01 00:11:51.000000,2020-01-01 00:11:51.000000
Intervention Loaded1186,Intervention Loaded,,2020-01-01 00:11:51.600000,2020-01-01 00:11:51.600000
Intervention Loaded1187,Intervention Loaded,,2020-01-01 00:11:52.200000,2020-01-01 00:11:52.200000
Intervention Loaded1188,Intervention Loaded,,2020-01-01 00:11:52.800000,2020-01-01 00:11:52.800000
Intervention Loaded1189,Intervention Loaded,,2020-01-01 00:11:53.400000,2020-01-01 00:11:53.400000
Intervention Loaded1190,Intervention Loaded,,2020-01-01 00:11:54.000000,2020-01-01 00:11:54.000000
Intervention Loaded1191,Intervention Loaded,,2020-01-01 00:11:54.600000,2020-01-01 00:11:54.600000
Intervention Loaded1192,Intervention Loaded,,2020-01-01 00:11:55.200000,2020-01-01 00:11:55.200000
Intervention Loaded1193,Intervention Loaded,,2020-01-01 00:11:55.800000,2020-01-01 00:11:55.800000
Intervention Loaded1194,Intervention Loaded,,2020-01-01 00:11:56.400000,2020-01-01 00:11:56.400000
Intervention Loaded1195,Intervention Loaded,,2020-01-01 00:11:57.000000,2020-01-01 00:11:57.000000
Intervention Loaded1196,Intervention Loaded,,2020-01-01 00:11:57.600000,2020-01-01 00:11:57.600000
Intervention Loaded1197,Intervention Loaded,,2020-01-01 00:11:58.200000,2020-01-01 00:11:58.200000
Intervention Loaded1198,Intervention Loaded,,2020-01-01 00:11:58.800000,2020-01-01 00:11:58.800000
Intervention Loaded1199,Intervention Loaded,,2020-01-01 00:11:59.400000,2020-01-01 00:11:59.400000
Intervention Loaded1200,Intervention Loaded,,2020-01-01 00:12:00.000000,2020-01-01 00:12:00.000000
Intervention Loaded1201,Intervention Loaded,,2020-01-01 00:12:00.600000,2020-01-01 00:12:00.600000
Intervention Loaded1202,Intervention Loaded,,2020-01-01 00:12:01.200000,2020-01-01 00:12:01.200000
